subsystem,path_from_root
DEB,/Code/Framework/AzToolsFramework/AzToolsFramework/Logger
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/Manipulators
COR,/Code/Framework/AzToolsFramework/AzToolsFramework/Maths
PHY,/Code/Framework/AzToolsFramework/AzToolsFramework/Physics
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/Picking
GMP,/Code/Framework/AzToolsFramework/AzToolsFramework/Prefab
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/PropertyTreeEditor
GMP,/Code/Framework/AzToolsFramework/AzToolsFramework/PythonTerminal
LLR,/Code/Framework/AzToolsFramework/AzToolsFramework/Render
GMP,/Code/Framework/AzToolsFramework/AzToolsFramework/Script
FES,/Code/Framework/AzToolsFramework/AzToolsFramework/Slice
RES,/Code/Framework/AzToolsFramework/AzToolsFramework/SourceControl
FES,/Code/Framework/AzToolsFramework/AzToolsFramework/Thumbnails
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/ToolsComponents
PLA,/Code/Framework/AzToolsFramework/AzToolsFramework/ToolsFileUtils
GMP,/Code/Framework/AzToolsFramework/AzToolsFramework/ToolsMessaging
FES,/Code/Framework/AzToolsFramework/AzToolsFramework/UI
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/Undo
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/Viewport
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/ViewportSelection
EDI,/Code/Framework/AzToolsFramework/AzToolsFramework/ViewportUi
PLA,/Code/Framework/AzToolsFramework/Platform/Common
PLA,/Code/Framework/AzToolsFramework/Platform/Linux
PLA,/Code/Framework/AzToolsFramework/Platform/Mac
PLA,/Code/Framework/AzToolsFramework/Platform/Windows
LLR,/Code/Framework/GFxFramework
COR,/Code/LauncherUnified/Game.cpp
FES,/Code/LauncherUnified/Launcher.cpp
FES,/Code/LauncherUnified/Launcher.h
FES,/Code/LauncherUnified/LauncherProject.cpp
PLA,/Code/LauncherUnified/Platform
FES,/Code/LauncherUnified/Server.cpp
PLA,/Code/Legacy/CryCommon/AndroidSpecific.h
SKA,/Code/Legacy/CryCommon/AnimKey.h
PLA,/Code/Legacy/CryCommon/AppleSpecific.h
COR,/Code/Legacy/CryCommon/BaseTypes.h
LLR,/Code/Legacy/CryCommon/Cry_Color.h
LLR,/Code/Legacy/CryCommon/Cry_Geo.h
LLR,/Code/Legacy/CryCommon/Cry_GeoDistance.h
LLR,/Code/Legacy/CryCommon/Cry_GeoIntersect.h
COR,/Code/Legacy/CryCommon/Cry_Math.h
COR,/Code/Legacy/CryCommon/Cry_Matrix33.h
COR,/Code/Legacy/CryCommon/Cry_Matrix34.h
COR,/Code/Legacy/CryCommon/Cry_Matrix44.h
COR,/Code/Legacy/CryCommon/Cry_Quat.h
COR,/Code/Legacy/CryCommon/Cry_ValidNumber.h
COR,/Code/Legacy/CryCommon/Cry_Vector2.h
COR,/Code/Legacy/CryCommon/Cry_Vector3.h
COR,/Code/Legacy/CryCommon/Cry_Vector4.h
COR,/Code/Legacy/CryCommon/CryAssert.h
COR,/Code/Legacy/CryCommon/CryEndian.h
PLA,/Code/Legacy/CryCommon/CryFile.h
COR,/Code/Legacy/CryCommon/CryHalf.inl
COR,/Code/Legacy/CryCommon/CryLegacyAllocator.h
COR,/Code/Legacy/CryCommon/CryListenerSet.h
COR,/Code/Legacy/CryCommon/CryPath.h
COR,/Code/Legacy/CryCommon/CryRandomInternal.h
COR,/Code/Legacy/CryCommon/CrySystemBus.h
COR,/Code/Legacy/CryCommon/CryVersion.h
AUD,/Code/Legacy/CryCommon/IAudioInterfacesCommonData.h
AUD,/Code/Legacy/CryCommon/IAudioSystem.h
COR,/Code/Legacy/CryCommon/ICmdLine.h
COR,/Code/Legacy/CryCommon/IConsole.h
FES,/Code/Legacy/CryCommon/IFont.h
COR,/Code/Legacy/CryCommon/IGem.h
LLR,/Code/Legacy/CryCommon/IIndexedMesh.h
GMP,/Code/Legacy/CryCommon/ILevelSystem.h
COR,/Code/Legacy/CryCommon/ILocalizationManager.h
DEB,/Code/Legacy/CryCommon/ILog.h
LLR,/Code/Legacy/CryCommon/IMaterial.h
DEB,/Code/Legacy/CryCommon/IMiniLog.h
FES,/Code/Legacy/CryCommon/IMovieSystem.h
PLA,/Code/Legacy/CryCommon/iOSSpecific.h
DEB,/Code/Legacy/CryCommon/IRenderAuxGeom.h
LLR,/Code/Legacy/CryCommon/IRenderer.h
COR,/Code/Legacy/CryCommon/ISerialize.h
LLR,/Code/Legacy/CryCommon/IShader.h
COR,/Code/Legacy/CryCommon/ISplines.h
COR,/Code/Legacy/CryCommon/ISystem.h
LLR,/Code/Legacy/CryCommon/ITexture.h
DEB,/Code/Legacy/CryCommon/IValidator.h
PLA,/Code/Legacy/CryCommon/IWindowMessageHandler.h
COR,/Code/Legacy/CryCommon/IXml.h
COR,/Code/Legacy/CryCommon/LCGRandom.h
COR,/Code/Legacy/CryCommon/LegacyAllocator.cpp
COR,/Code/Legacy/CryCommon/LegacyAllocator.h
PLA,/Code/Legacy/CryCommon/Linux_Win32Wrapper.h
PLA,/Code/Legacy/CryCommon/Linux32Specific.h
PLA,/Code/Legacy/CryCommon/Linux64Specific.h
PLA,/Code/Legacy/CryCommon/LinuxSpecific.h
FES,/Code/Legacy/CryCommon/LoadScreenBus.h
COR,/Code/Legacy/CryCommon/LocalizationManagerBus.h
COR,/Code/Legacy/CryCommon/LocalizationManagerBus.inl
PLA,/Code/Legacy/CryCommon/MacSpecific.h
SKA,/Code/Legacy/CryCommon/Maestro
LLR,/Code/Legacy/CryCommon/MainThreadRenderRequestBus.h
COR,/Code/Legacy/CryCommon/MathConversion.h
HID,/Code/Legacy/CryCommon/MicrophoneBus.h
COR,/Code/Legacy/CryCommon/MiniQueue.h
PLA,/Code/Legacy/CryCommon/MultiThread_Containers.h
AUD,/Code/Legacy/CryCommon/NullAudioSystem.h
PLA,/Code/Legacy/CryCommon/Platform
PLA,/Code/Legacy/CryCommon/platform_impl.cpp
PLA,/Code/Legacy/CryCommon/platform.h
COR,/Code/Legacy/CryCommon/PNoise3.h
EDI,/Code/Legacy/CryCommon/ProjectDefines.h
COR,/Code/Legacy/CryCommon/Random.h
COR,/Code/Legacy/CryCommon/Range.h
COR,/Code/Legacy/CryCommon/ScopedVariableSetter.h
COR,/Code/Legacy/CryCommon/SerializationTypes.h
COR,/Code/Legacy/CryCommon/SerializeFwd.h
COR,/Code/Legacy/CryCommon/SimpleSerialize.h
COR,/Code/Legacy/CryCommon/smartptr.h
COR,/Code/Legacy/CryCommon/StaticInstance.h
COR,/Code/Legacy/CryCommon/StlUtils.h
PLA,/Code/Legacy/CryCommon/TimeValue.h
COR,/Code/Legacy/CryCommon/VectorMap.h
COR,/Code/Legacy/CryCommon/Vertex.h
COR,/Code/Legacy/CryCommon/VertexFormats.h
PLA,/Code/Legacy/CryCommon/Win64specific.h
PLA,/Code/Legacy/CryCommon/WinBase.cpp
COR,/Code/Legacy/CryCommon/XMLBinaryHeaders.h
DEB,/Code/Legacy/CrySystem/AZCoreLogSink.h
DEB,/Code/Legacy/CrySystem/AZCrySystemInitLogSink.cpp
DEB,/Code/Legacy/CrySystem/AZCrySystemInitLogSink.h
EDI,/Code/Legacy/CrySystem/CmdLine.cpp
EDI,/Code/Legacy/CrySystem/CmdLine.h
EDI,/Code/Legacy/CrySystem/CmdLineArg.cpp
EDI,/Code/Legacy/CrySystem/CmdLineArg.h
EDI,/Code/Legacy/CrySystem/ConsoleBatchFile.cpp
EDI,/Code/Legacy/CrySystem/ConsoleBatchFile.h
EDI,/Code/Legacy/CrySystem/ConsoleHelpGen.cpp
EDI,/Code/Legacy/CrySystem/ConsoleHelpGen.h
COR,/Code/Legacy/CrySystem/CrySystem_precompiled.h
DEB,/Code/Legacy/CrySystem/DebugCallStack.cpp
DEB,/Code/Legacy/CrySystem/DebugCallStack.h
PLA,/Code/Legacy/CrySystem/DllMain.cpp
COR,/Code/Legacy/CrySystem/Huffman.cpp
COR,/Code/Legacy/CrySystem/Huffman.h
DEB,/Code/Legacy/CrySystem/IDebugCallStack.cpp
DEB,/Code/Legacy/CrySystem/IDebugCallStack.h
GMP,/Code/Legacy/CrySystem/LevelSystem
COR,/Code/Legacy/CrySystem/LocalizedStringManager.cpp
COR,/Code/Legacy/CrySystem/LocalizedStringManager.h
DEB,/Code/Legacy/CrySystem/Log.cpp
DEB,/Code/Legacy/CrySystem/Log.h
EDI,/Code/Legacy/CrySystem/RemoteConsole
COR,/Code/Legacy/CrySystem/SimpleStringPool.h
COR,/Code/Legacy/CrySystem/System.cpp
COR,/Code/Legacy/CrySystem/System.h
COR,/Code/Legacy/CrySystem/SystemCFG.cpp
GMP,/Code/Legacy/CrySystem/SystemEventDispatcher.cpp
GMP,/Code/Legacy/CrySystem/SystemEventDispatcher.h
COR,/Code/Legacy/CrySystem/SystemInit.cpp
PLA,/Code/Legacy/CrySystem/SystemWin32.cpp
DEB,/Code/Legacy/CrySystem/WindowsErrorReporting.cpp
EDI,/Code/Legacy/CrySystem/XConsole.cpp
EDI,/Code/Legacy/CrySystem/XConsole.h
EDI,/Code/Legacy/CrySystem/XConsoleVariable.cpp
EDI,/Code/Legacy/CrySystem/XConsoleVariable.h
COR,/Code/Legacy/CrySystem/XML
RES,/Code/Tools/AssetBundler
RES,/Code/Tools/AssetProcessor
FES,/Code/Tools/BundleLauncher
DEB,/Code/Tools/CrashHandler
RES,/Code/Tools/DeltaCataloger
GMP,/Code/Tools/LuaIDE
EDI,/Code/Tools/ProjectManager
GMP,/Code/Tools/PythonBindingsExample
DEB,/Code/Tools/RemoteConsole
RES,/Code/Tools/SceneAPI
COR,/Code/Tools/SerializeContextTools
GMP,/Gems/Achievements
RES,/Gems/AssetValidation
LLR,/Gems/Atom
LLR,/Gems/AtomContent
LLR,/Gems/AtomLyIntegration
LLR,/Gems/AtomTressFX
AUD,/Gems/AudioEngineWwise
AUD,/Gems/AudioSystem
OMP,/Gems/AWSGameLift
COR,/Gems/AWSMetrics
LLR,/Gems/Camera
LLR,/Gems/CameraFramework
OMP,/Gems/CertificateManager
DEB,/Gems/CrashReporting
