edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/Input/InputConstants.h,2,4,6
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/ImporterRegistry.cpp,49,0,49
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/SMDLoader.h,2,2,4
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/WebP/src/enc/picture_tools_enc.c,2,0,2
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/WebP/src/dsp/yuv.h,2,15,17
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SLikeNet/Source/src/NatTypeDetectionCommon.cpp,4,0,4
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/ThirdParty/slikenet/SocketDefines.h,0,9,9
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/main/dummy/SDL_dummy_main.c,1,0,1
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/audio/nacl/SDL_naclaudio.h,2,1,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/gzip/infutil.c,5,1,6
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/gzip/infutil.h,0,4,4
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/Physics2D/CollisionShape2D.h,1,6,7
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/Scene/Component.h,1,36,37
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/Graphics/Renderer.cpp,27,0,27
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/Graphics/OcclusionBuffer.h,5,8,13
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/glTFImporter.cpp,6,0,6
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/Navigation/Navigable.h,1,1,2
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/ThirdParty/SDL/SDL.h,31,0,31
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/ThirdParty/SDL/SDL_log.h,3,1,4
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/ThirdParty/rapidjson/schema.h,6,0,6
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/ThirdParty/rapidjson/uri.h,1,2,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/AngelScript/source/as_outputbuffer.h,3,2,5
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/AngelScript/source/as_string.h,0,18,18
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/GraphicsAPI/Texture3D.cpp,13,0,13
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Lua/src/llimits.h,1,5,6
