edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/godot/main/performance.h,1,3,4
/media/ullmann/hdd/research/engines/godot/core/os/input_event.h,4,6,10
/media/ullmann/hdd/research/engines/godot/editor/editor_translation.cpp,6,0,6
/media/ullmann/hdd/research/engines/godot/core/io/translation_loader_po.h,3,3,6
/media/ullmann/hdd/research/engines/godot/modules/bullet/godot_collision_dispatcher.cpp,2,0,2
/media/ullmann/hdd/research/engines/godot/modules/bullet/godot_collision_dispatcher.h,1,2,3
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/cpu/jit_uni_pool_kernel_f32.hpp,2,2,4
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/cpu/jit_generator.hpp,2,36,38
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/smooth/ftsmooth.c,3,1,4
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/smooth/ftsmooth.h,0,1,1
/media/ullmann/hdd/research/engines/godot/editor/plugins/asset_library_editor_plugin.h,17,3,20
/media/ullmann/hdd/research/engines/godot/scene/gui/check_box.h,1,16,17
/media/ullmann/hdd/research/engines/godot/servers/physics_2d_server.cpp,3,0,3
/media/ullmann/hdd/research/engines/godot/servers/physics_2d_server.h,3,29,32
/media/ullmann/hdd/research/engines/godot/editor/plugin_config_dialog.cpp,10,0,10
/media/ullmann/hdd/research/engines/godot/editor/plugin_config_dialog.h,5,3,8
/media/ullmann/hdd/research/engines/godot/editor/plugins/canvas_item_editor_plugin.cpp,24,0,24
/media/ullmann/hdd/research/engines/godot/scene/resources/dynamic_font.h,6,10,16
/media/ullmann/hdd/research/engines/godot/modules/mono/mono_gd/gd_mono_marshal.cpp,4,0,4
/media/ullmann/hdd/research/engines/godot/modules/mono/mono_gd/gd_mono.h,5,13,18
/media/ullmann/hdd/research/engines/godot/editor/editor_profiler.h,8,2,10
/media/ullmann/hdd/research/engines/godot/editor/import/resource_importer_scene.h,4,12,16
/media/ullmann/hdd/research/engines/godot/core/io/resource_importer.h,1,18,19
/media/ullmann/hdd/research/engines/godot/scene/resources/world_2d.cpp,7,0,7
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/bvh/bvh_builder_morton.cpp,14,0,14
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/geometry/quadv.h,1,11,12
/media/ullmann/hdd/research/engines/godot/editor/animation_bezier_editor.h,1,2,3
/media/ullmann/hdd/research/engines/godot/editor/animation_track_editor.h,16,5,21
/media/ullmann/hdd/research/engines/godot/editor/import/editor_import_collada.cpp,14,0,14
/media/ullmann/hdd/research/engines/godot/scene/3d/path.h,2,5,7
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/geometry/curveNi_intersector.h,1,3,4
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/geometry/curveNi.h,2,5,7
/media/ullmann/hdd/research/engines/godot/modules/svg/image_loader_svg.h,2,3,5
/media/ullmann/hdd/research/engines/godot/core/io/image_loader.h,5,31,36
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/BulletCollision/CollisionDispatch/btSphereBoxCollisionAlgorithm.cpp,1,1,2
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/BulletCollision/CollisionDispatch/btSphereBoxCollisionAlgorithm.h,2,1,3
/media/ullmann/hdd/research/engines/godot/core/os/mutex.h,2,21,23
/media/ullmann/hdd/research/engines/godot/core/typedefs.h,2,47,49
/media/ullmann/hdd/research/engines/godot/editor/editor_resource_picker.h,6,4,10
/media/ullmann/hdd/research/engines/godot/scene/gui/button.h,1,35,36
/media/ullmann/hdd/research/engines/godot/modules/gltf/gltf_document.h,11,10,21
/media/ullmann/hdd/research/engines/godot/scene/3d/bone_attachment.h,1,6,7
/media/ullmann/hdd/research/engines/godot/modules/gltf/gltf_accessor.h,2,4,6
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/cpu/jit_avx512_core_x8s8s32x_deconvolution.hpp,6,1,7
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/cpu/cpu_memory.hpp,1,18,19
/media/ullmann/hdd/research/engines/godot/editor/plugins/animation_blend_tree_editor_plugin.h,9,3,12
/media/ullmann/hdd/research/engines/godot/scene/gui/tree.h,5,41,46
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/pcf/pcfdrivr.c,5,1,6
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/pcf/pcferror.h,0,2,2
/media/ullmann/hdd/research/engines/godot/scene/2d/touch_screen_button.cpp,4,0,4
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/pfr/pfrgload.c,4,1,5
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/pfr/pfrsbit.h,1,3,4
